Ticker,GICS_Sector,GICS_Industry
AAPL,Technology,Consumer Electronics
AAON,Industrials,Building Products & Equipment
A,Healthcare,Diagnostics & Research
ABAT,Industrials,Waste Management
AAL,Industrials,Airlines
AA,Basic Materials,Aluminum
ABCL,Healthcare,Biotechnology
AAOI,Technology,Communication Equipment
ABNB,Consumer Cyclical,Travel Services
ABT,Healthcare,Medical Devices
ACHR,Industrials,Aerospace & Defense
ACI,Consumer Defensive,Grocery Stores
ACIW,Technology,Software - Infrastructure
ACLS,Technology,Semiconductor Equipment & Materials
ACMR,Technology,Semiconductor Equipment & Materials
ACM,Industrials,Engineering & Construction
ACN,Technology,Information Technology Services
ADEA,Technology,Software - Application
ADBE,Technology,Software - Application
ADM,Consumer Defensive,Farm Products
ADSK,Technology,Software - Application
ADP,Technology,Software - Application
ADI,Technology,Semiconductors
ADT,Industrials,Security & Protection Services
ADTN,Technology,Communication Equipment
AEHR,Technology,Semiconductor Equipment & Materials
ADUR,Industrials,Pollution & Treatment Controls
AEIS,Industrials,Electrical Equipment & Parts
AEM,Basic Materials,Gold
AEP,Utilities,Utilities - Regulated Electric
AEO,Consumer Cyclical,Apparel Retail
AER,Industrials,Rental & Leasing Services
AEVA,Technology,Software - Infrastructure
AFRM,Financial Services,Credit Services
AG,Basic Materials,Silver
AGCO,Industrials,Farm & Heavy Construction Machinery
AGRO,Consumer Defensive,Farm Products
AGI,Basic Materials,Gold
AI,Technology,Software - Infrastructure
AIP,Technology,Semiconductors
AKAM,Technology,Software - Infrastructure
ALAB,Technology,Semiconductors
ALB,Basic Materials,Specialty Chemicals
ALK,Industrials,Airlines
ALGM,Technology,Semiconductors
ALLE,Industrials,Security & Protection Services
ALM,Basic Materials,Other Industrial Metals & Mining
ALKT,Technology,Software - Application
ALNY,Healthcare,Biotechnology
ALOT,Technology,Computer Hardware
ALOY,Basic Materials,Other Industrial Metals & Mining
ALMU,Technology,Semiconductors
ALRM,Technology,Software - Application
ALTO,Basic Materials,Specialty Chemicals
AMAT,Technology,Semiconductor Equipment & Materials
AMBA,Technology,Semiconductor Equipment & Materials
AMBQ,Technology,Semiconductors
AMD,Technology,Semiconductors
AMCR,Consumer Cyclical,Packaging & Containers
AME,Industrials,Specialty Industrial Machinery
AMKR,Technology,Semiconductor Equipment & Materials
AMPL,Technology,Software - Application
AMPX,Industrials,Electrical Equipment & Parts
AMR,Basic Materials,Coking Coal
AMRZ,Basic Materials,Building Materials
AMX,Communication Services,Telecom Services
AMT,Real Estate,REIT - Specialty
AMSC,Industrials,Specialty Industrial Machinery
AMZN,Consumer Cyclical,Internet Retail
ANDE,Consumer Defensive,Food Distribution
AOS,Industrials,Specialty Industrial Machinery
ANET,Technology,Computer Hardware
ANF,Consumer Cyclical,Apparel Retail
AOSL,Technology,Semiconductors
APD,Basic Materials,Specialty Chemicals
APH,Technology,Electronic Components
APG,Industrials,Engineering & Construction
APLD,Technology,Information Technology Services
APPF,Technology,Software - Application
APP,Communication Services,Advertising Agencies
APPN,Technology,Software - Infrastructure
AREC,Basic Materials,Coking Coal
ARIS,Basic Materials,Gold
ARLO,Industrials,Building Products & Equipment
ARLP,Energy,Thermal Coal
ARM,Technology,Semiconductors
ARMK,Industrials,Specialty Business Services
ARQQ,Technology,Software - Infrastructure
ARRY,Technology,Solar
ASAN,Technology,Software - Application
ARWR,Healthcare,Biotechnology
ASH,Basic Materials,Specialty Chemicals
ASM,Basic Materials,Other Precious Metals & Mining
ASML,Technology,Semiconductor Equipment & Materials
ASIX,Basic Materials,Chemicals
ASPI,Basic Materials,Chemicals
ASTS,Technology,Communication Equipment
ATAT,Consumer Cyclical,Lodging
ATEN,Technology,Software - Infrastructure
ASX,Technology,Semiconductors
ATHM,Communication Services,Internet Content & Information
ATLX,Basic Materials,Other Industrial Metals & Mining
ATI,Industrials,Metal Fabrication
ATKR,Industrials,Electrical Equipment & Parts
ATOM,Technology,Semiconductor Equipment & Materials
AU,Basic Materials,Gold
AUR,Consumer Cyclical,Auto Parts
AUGO,Basic Materials,Gold
AVGO,Technology,Semiconductors
AVT,Technology,Electronics & Computer Distribution
AVNT,Basic Materials,Specialty Chemicals
AVPT,Technology,Software - Infrastructure
AXTA,Basic Materials,Specialty Chemicals
AXTI,Technology,Semiconductor Equipment & Materials
AYI,Industrials,Electrical Equipment & Parts
AZTA,Healthcare,Medical Instruments & Supplies
BABA,Consumer Cyclical,Internet Retail
BA,Industrials,Aerospace & Defense
BALL,Consumer Cyclical,Packaging & Containers
B,Basic Materials,Gold
BB,Technology,Software - Infrastructure
BBIO,Healthcare,Biotechnology
BBAI,Technology,Information Technology Services
BARK,Consumer Cyclical,Specialty Retail
BBWI,Consumer Cyclical,Specialty Retail
BCE,Communication Services,Telecom Services
BBY,Consumer Cyclical,Specialty Retail
BDC,Technology,Communication Equipment
BEAM,Healthcare,Biotechnology
BE,Industrials,Electrical Equipment & Parts
BG,Consumer Defensive,Farm Products
BEKE,Real Estate,Real Estate Services
BHP,Basic Materials,Other Industrial Metals & Mining
BIDU,Communication Services,Internet Content & Information
BJ,Consumer Defensive,Discount Stores
BILI,Communication Services,Internet Content & Information
BIRK,Consumer Cyclical,Footwear & Accessories
BKD,Healthcare,Medical Care Facilities
BILL,Technology,Software - Application
BKSY,Industrials,Specialty Business Services
BKNG,Consumer Cyclical,Travel Services
BL,Technology,Software - Application
BLDR,Industrials,Building Products & Equipment
BMBL,Communication Services,Internet Content & Information
BMI,Technology,Scientific & Technical Instruments
BMM,Basic Materials,Other Industrial Metals & Mining
BMRN,Healthcare,Biotechnology
BMNR,Financial Services,Capital Markets
BOX,Technology,Software - Infrastructure
BR,Technology,Information Technology Services
BP,Energy,Oil & Gas Integrated
BRZE,Technology,Software - Application
BSY,Technology,Software - Application
BTDR,Technology,Software - Application
BTG,Basic Materials,Gold
BSX,Healthcare,Medical Devices
BTBT,Financial Services,Capital Markets
BTI,Consumer Defensive,Tobacco
BTU,Energy,Thermal Coal
BUD,Consumer Defensive,Beverages - Brewers
BULL,Technology,Software - Application
BVN,Basic Materials,Other Precious Metals & Mining
BWXT,Industrials,Aerospace & Defense
BW,Industrials,Specialty Industrial Machinery
BZ,Communication Services,Internet Content & Information
CALM,Consumer Defensive,Farm Products
BZAI,Technology,Software - Application
CALX,Technology,Software - Infrastructure
CART,Consumer Cyclical,Internet Retail
CAR,Industrials,Rental & Leasing Services
CARG,Consumer Cyclical,Auto & Truck Dealerships
CAT,Industrials,Farm & Heavy Construction Machinery
CARR,Industrials,Building Products & Equipment
CBRE,Real Estate,Real Estate Services
CBT,Basic Materials,Specialty Chemicals
CBZ,Industrials,Specialty Business Services
CC,Basic Materials,Specialty Chemicals
CCC,Technology,Software - Application
CCI,Real Estate,REIT - Specialty
CCEP,Consumer Defensive,Beverages - Non-Alcoholic
CCJ,Energy,Uranium
CCK,Consumer Cyclical,Packaging & Containers
CCL,Consumer Cyclical,Travel Services
CCOI,Communication Services,Telecom Services
CDE,Basic Materials,Gold
CDW,Technology,Information Technology Services
CDNS,Technology,Software - Application
CE,Basic Materials,Chemicals
CEG,Utilities,Utilities - Independent Power Producers
CELH,Consumer Defensive,Beverages - Non-Alcoholic
CENX,Basic Materials,Aluminum
CF,Basic Materials,Agricultural Inputs
CGNX,Technology,Scientific & Technical Instruments
CGAU,Basic Materials,Gold
CHPT,Consumer Cyclical,Specialty Retail
CHD,Consumer Defensive,Household & Personal Products
CHRW,Industrials,Integrated Freight & Logistics
CHTR,Communication Services,Telecom Services
CHWY,Consumer Cyclical,Internet Retail
CIEN,Technology,Communication Equipment
CHYM,Technology,Software - Application
CIFR,Technology,Information Technology Services
CLF,Basic Materials,Steel
CLMT,Basic Materials,Specialty Chemicals
CLSK,Financial Services,Capital Markets
CL,Consumer Defensive,Household & Personal Products
CLS,Technology,Electronic Components
CLX,Consumer Defensive,Household & Personal Products
CMBT,Energy,Oil & Gas Midstream
CMC,Industrials,Metal Fabrication
CNC,Healthcare,Healthcare Plans
CMCSA,Communication Services,Telecom Services
CMI,Industrials,Specialty Industrial Machinery
CNH,Industrials,Farm & Heavy Construction Machinery
CNI,Industrials,Railroads
CNR,Energy,Thermal Coal
CNM,Industrials,Industrial Distribution
CNXC,Technology,Information Technology Services
COHR,Technology,Scientific & Technical Instruments
COCO,Consumer Defensive,Beverages - Non-Alcoholic
COIN,Financial Services,Financial Data & Stock Exchanges
COHU,Technology,Semiconductor Equipment & Materials
COP,Energy,Oil & Gas E&P
COLD,Real Estate,REIT - Industrial
COMP,Real Estate,Real Estate Services
CORT,Healthcare,Biotechnology
CORZ,Technology,Software - Infrastructure
COST,Consumer Defensive,Discount Stores
COTY,Consumer Defensive,Household & Personal Products
COUR,Consumer Defensive,Education & Training Services
CP,Industrials,Railroads
CPRI,Consumer Cyclical,Luxury Goods
CPRT,Industrials,Specialty Business Services
CPNG,Consumer Cyclical,Internet Retail
CRCL,Financial Services,Capital Markets
CRDO,Technology,Semiconductors
CRH,Basic Materials,Building Materials
CRM,Technology,Software - Application
CRML,Basic Materials,Other Industrial Metals & Mining
CRNC,Technology,Software - Application
CRS,Industrials,Metal Fabrication
CRSP,Healthcare,Biotechnology
CRTO,Communication Services,Advertising Agencies
CRUS,Technology,Semiconductors
CRWD,Technology,Software - Infrastructure
CRWV,Technology,Software - Infrastructure
CSCO,Technology,Communication Equipment
CSIQ,Technology,Solar
CSGP,Real Estate,Real Estate Services
CSTM,Basic Materials,Aluminum
CTAS,Industrials,Specialty Business Services
CTOS,Industrials,Rental & Leasing Services
CSX,Industrials,Railroads
CTRE,Real Estate,REIT - Healthcare Facilities
CTSH,Technology,Information Technology Services
CTVA,Basic Materials,Agricultural Inputs
CVNA,Consumer Cyclical,Auto & Truck Dealerships
CVS,Healthcare,Healthcare Plans
CVLT,Technology,Software - Application
CWK,Real Estate,Real Estate Services
CVX,Energy,Oil & Gas Integrated
CWAN,Technology,Software - Application
CWST,Industrials,Waste Management
CX,Basic Materials,Building Materials
CXM,Technology,Software - Application
CXT,Industrials,Specialty Industrial Machinery
CXW,Industrials,Security & Protection Services
DAC,Industrials,Marine Shipping
D,Utilities,Utilities - Regulated Electric
DAL,Industrials,Airlines
DASH,Consumer Cyclical,Internet Retail
DBX,Technology,Software - Infrastructure
DD,Basic Materials,Specialty Chemicals
DDOG,Technology,Software - Application
DECK,Consumer Cyclical,Footwear & Accessories
DE,Industrials,Farm & Heavy Construction Machinery
DFTX,Healthcare,Biotechnology
DELL,Technology,Computer Hardware
DG,Consumer Defensive,Discount Stores
DHI,Consumer Cyclical,Residential Construction
DHR,Healthcare,Diagnostics & Research
DHT,Energy,Oil & Gas Midstream
DLB,Industrials,Specialty Business Services
DJT,Communication Services,Internet Content & Information
DKS,Consumer Cyclical,Specialty Retail
DIOD,Technology,Semiconductors
DLO,Technology,Software - Infrastructure
DLR,Real Estate,REIT - Specialty
DLTR,Consumer Defensive,Discount Stores
DNN,Energy,Uranium
DNOW,Industrials,Industrial Distribution
DOCS,Healthcare,Health Information Services
DOCN,Technology,Software - Infrastructure
DOV,Industrials,Specialty Industrial Machinery
DOW,Basic Materials,Chemicals
DRVN,Consumer Cyclical,Auto & Truck Dealerships
DOCU,Technology,Software - Application
DOX,Technology,Software - Infrastructure
DT,Technology,Software - Application
DUK,Utilities,Utilities - Regulated Electric
DUOL,Technology,Software - Application
DV,Communication Services,Advertising Agencies
DXC,Technology,Information Technology Services
EA,Communication Services,Electronic Gaming & Multimedia
DXCM,Healthcare,Medical Devices
DVN,Energy,Oil & Gas E&P
EAF,Industrials,Electrical Equipment & Parts
ECVT,Basic Materials,Specialty Chemicals
ECL,Basic Materials,Specialty Chemicals
EBAY,Consumer Cyclical,Internet Retail
EDU,Consumer Defensive,Education & Training Services
EEFT,Technology,Software - Infrastructure
EGO,Basic Materials,Gold
EH,Industrials,Aerospace & Defense
EL,Consumer Defensive,Household & Personal Products
ELF,Consumer Defensive,Household & Personal Products
ELV,Healthcare,Healthcare Plans
ELVR,Basic Materials,Other Industrial Metals & Mining
ELAN,Healthcare,Drug Manufacturers - Specialty & Generic
EMN,Basic Materials,Specialty Chemicals
ENPH,Technology,Solar
EMR,Industrials,Specialty Industrial Machinery
ENR,Industrials,Electrical Equipment & Parts
ENSG,Healthcare,Medical Care Facilities
ENVX,Industrials,Electrical Equipment & Parts
ENTG,Technology,Semiconductor Equipment & Materials
EOG,Energy,Oil & Gas E&P
EOSE,Industrials,Electrical Equipment & Parts
EPAM,Technology,Information Technology Services
EPD,Energy,Oil & Gas Midstream
EQPT,Industrials,Rental & Leasing Services
EQIX,Real Estate,REIT - Specialty
EQNR,Energy,Oil & Gas Integrated
EQX,Basic Materials,Gold
ERO,Basic Materials,Copper
ERIC,Technology,Communication Equipment
ESI,Basic Materials,Specialty Chemicals
ET,Energy,Oil & Gas Midstream
ESTC,Technology,Software - Application
ETN,Industrials,Specialty Industrial Machinery
EU,Energy,Uranium
ETSY,Consumer Cyclical,Internet Retail
EW,Healthcare,Medical Devices
EVLV,Industrials,Security & Protection Services
EXK,Basic Materials,Silver
EXC,Utilities,Utilities - Regulated Electric
EXLS,Technology,Information Technology Services
EXPD,Industrials,Integrated Freight & Logistics
EXTR,Technology,Communication Equipment
EXPGY,Industrials,Consulting Services
EXPE,Consumer Cyclical,Travel Services
F,Consumer Cyclical,Auto Manufacturers
FBIN,Industrials,Building Products & Equipment
FA,Industrials,Specialty Business Services
FANG,Energy,Oil & Gas E&P
FAST,Industrials,Industrial Distribution
FCX,Basic Materials,Copper
FDX,Industrials,Integrated Freight & Logistics
FCEL,Industrials,Electrical Equipment & Parts
FEIM,Technology,Communication Equipment
FER,Industrials,Engineering & Construction
FERG,Industrials,Industrial Distribution
FFIV,Technology,Software - Infrastructure
FICO,Technology,Software - Application
FIG,Technology,Software - Application
FIS,Technology,Information Technology Services
FIVE,Consumer Cyclical,Specialty Retail
FIGS,Consumer Cyclical,Apparel Manufacturing
FIVN,Technology,Software - Infrastructure
FIX,Industrials,Engineering & Construction
FLNC,Utilities,Utilities - Renewable
FLEX,Technology,Electronic Components
FLR,Industrials,Engineering & Construction
FLY,Industrials,Aerospace & Defense
FLYW,Technology,Software - Infrastructure
FLS,Industrials,Specialty Industrial Machinery
FMC,Basic Materials,Agricultural Inputs
FNV,Basic Materials,Gold
FORM,Technology,Semiconductor Equipment & Materials
FOUR,Technology,Software - Infrastructure
FRMI,Real Estate,REIT - Specialty
FPS,Industrials,Electrical Equipment & Parts
FROG,Technology,Software - Application
FRSH,Technology,Software - Application
FRO,Energy,Oil & Gas Midstream
FSLY,Technology,Software - Application
FSLR,Technology,Solar
FRPT,Consumer Defensive,Packaged Foods
FTNT,Technology,Software - Infrastructure
FSM,Basic Materials,Gold
FTV,Technology,Scientific & Technical Instruments
FWRD,Industrials,Integrated Freight & Logistics
FUBO,Communication Services,Broadcasting
G,Technology,Information Technology Services
GD,Industrials,Aerospace & Defense
GDDY,Technology,Software - Infrastructure
GE,Industrials,Aerospace & Defense
GDS,Technology,Information Technology Services
GDYN,Technology,Information Technology Services
GEN,Technology,Software - Infrastructure
GEHC,Healthcare,Medical Devices
GENI,Communication Services,Internet Content & Information
GEO,Industrials,Security & Protection Services
GEV,Industrials,Specialty Industrial Machinery
GFI,Basic Materials,Gold
GFS,Technology,Semiconductors
GFL,Industrials,Waste Management
GGB,Basic Materials,Steel
GGG,Industrials,Specialty Industrial Machinery
GLNG,Energy,Oil & Gas Midstream
GLOB,Technology,Information Technology Services
GLW,Technology,Electronic Components
GLXY,Financial Services,Capital Markets
GM,Consumer Cyclical,Auto Manufacturers
GNRC,Industrials,Specialty Industrial Machinery
GOOG,Communication Services,Internet Content & Information
GOOGL,Communication Services,Internet Content & Information
GME,Consumer Cyclical,Specialty Retail
GPC,Consumer Cyclical,Auto Parts
GPGI,Industrials,Metal Fabrication
GPK,Consumer Cyclical,Packaging & Containers
GPN,Industrials,Specialty Business Services
GPRE,Basic Materials,Chemicals
GPRO,Technology,Consumer Electronics
GRMN,Technology,Scientific & Technical Instruments
GRAB,Technology,Software - Application
GROY,Basic Materials,Gold
GRRR,Technology,Software - Infrastructure
GRND,Technology,Software - Application
GSIT,Technology,Semiconductors
GSAT,Communication Services,Telecom Services
GT,Consumer Cyclical,Auto Parts
GTES,Industrials,Specialty Industrial Machinery
GTLB,Technology,Software - Infrastructure
GTLS,Industrials,Specialty Industrial Machinery
GTM,Technology,Software - Application
GWRE,Technology,Software - Application
GXO,Industrials,Integrated Freight & Logistics
H,Consumer Cyclical,Lodging
HAFN,Industrials,Marine Shipping
HBM,Basic Materials,Copper
HAL,Energy,Oil & Gas Equipment & Services
HAYW,Industrials,Electrical Equipment & Parts
HCC,Basic Materials,Coking Coal
HCA,Healthcare,Medical Care Facilities
HD,Consumer Cyclical,Home Improvement Retail
HII,Industrials,Aerospace & Defense
HL,Basic Materials,Other Precious Metals & Mining
HIMX,Technology,Semiconductors
HLIT,Technology,Communication Equipment
HIVE,Financial Services,Capital Markets
HLMN,Industrials,Tools & Accessories
HLT,Consumer Cyclical,Lodging
HMC,Consumer Cyclical,Auto Manufacturers
HIMS,Healthcare,Drug Manufacturers - Specialty & Generic
HNGE,Healthcare,Health Information Services
HMY,Basic Materials,Gold
HON,Industrials,Conglomerates
HOG,Consumer Cyclical,Recreational Vehicles
HPE,Technology,Communication Equipment
HSAI,Consumer Cyclical,Auto Parts
HPQ,Technology,Computer Hardware
HSY,Consumer Defensive,Confectioners
HTZ,Industrials,Rental & Leasing Services
HUBS,Technology,Software - Application
HUBB,Industrials,Electrical Equipment & Parts
HUBG,Industrials,Integrated Freight & Logistics
HTHT,Consumer Cyclical,Lodging
HUM,Healthcare,Healthcare Plans
HUN,Basic Materials,Chemicals
HUT,Financial Services,Capital Markets
HYMC,Basic Materials,Gold
HWM,Industrials,Aerospace & Defense
IAC,Communication Services,Internet Content & Information
IBM,Technology,Information Technology Services
ICL,Basic Materials,Agricultural Inputs
IAG,Basic Materials,Gold
IDR,Basic Materials,Gold
ICHR,Technology,Semiconductor Equipment & Materials
IE,Basic Materials,Copper
IDCC,Technology,Software - Application
IDXX,Healthcare,Diagnostics & Research
IEX,Industrials,Specialty Industrial Machinery
